Genus	State	Proportion	Replicate
Piaya	II	0	3
Piaya	NS	0	3
Piaya	S	1	3
Piaya	SS	0	3
Surniculus	AA	0.01	3
Surniculus	AP	0.01	3
Surniculus	II	0.09	3
Surniculus	NS	0	3
Surniculus	S	0.89	3
Surniculus	SS	0	3
Cacomantis	AA	0	4
Cacomantis	AP	0	4
Cacomantis	II	0.09	4
Cacomantis	NS	0	4
Cacomantis	S	0.91	4
Cacomantis	SS	0	4
Cercococcyx	AA	0	4
Cercococcyx	AP	0	4
Cercococcyx	II	0	4
Cercococcyx	NS	0	4
Cercococcyx	S	1	4
Cercococcyx	SS	0	4
Chalcites	AA	0.01	4
Chalcites	AP	0	4
Chalcites	II	0.08	4
Chalcites	NS	0	4
Chalcites	S	0.89	4
Chalcites	SS	0.02	4
Chrysococcyx	AA	0.02	4
Chrysococcyx	AP	0.01	4
Chrysococcyx	II	0.13	4
Chrysococcyx	NS	0.02	4
Chrysococcyx	S	0.81	4
Chrysococcyx	SS	0.01	4
Clamator	AA	0.07	4
Clamator	AP	0.35	4
Clamator	II	0.18	4
Clamator	NS	0.04	4
Clamator	S	0.35	4
Clamator	SS	0.01	4
Coccycua	AA	0.01	4
Coccycua	AP	0.02	4
Coccycua	II	0	4
Coccycua	NS	0	4
Coccycua	S	0.94	4
Coccycua	SS	0.03	4
Coccyzus	AA	0.01	4
Coccyzus	AP	0	4
Coccyzus	II	0	4
Coccyzus	NS	0.04	4
Coccyzus	S	0.39	4
Coccyzus	SS	0.56	4
Cuculus	AA	0.41	4
Cuculus	AP	0.04	4
Cuculus	II	0.02	4
Cuculus	NS	0.01	4
Cuculus	S	0.49	4
Cuculus	SS	0.03	4
Eudynamys	AA	0	4
Eudynamys	AP	0	4
Eudynamys	II	0.95	4
Eudynamys	NS	0	4
Eudynamys	S	0.05	4
Eudynamys	SS	0	4
Hierococcyx	AA	0.01	4
Hierococcyx	AP	0	4
Hierococcyx	II	0.02	4
Hierococcyx	NS	0	4
Hierococcyx	S	0.97	4
Hierococcyx	SS	0	4
Phaenicophaeus	AA	0	4
Phaenicophaeus	AP	0	4
Phaenicophaeus	II	0	4
Phaenicophaeus	NS	0	4
Phaenicophaeus	S	1	4
Phaenicophaeus	SS	0	4
Piaya	AA	0	4
Piaya	AP	0	4
Piaya	II	0	4
Piaya	NS	0	4
Piaya	S	1	4
Piaya	SS	0	4
Surniculus	AA	0.01	4
Surniculus	AP	0.01	4
Surniculus	II	0.09	4
Surniculus	NS	0	4
Surniculus	S	0.89	4
