Genus	Node	State	Proportion	Replicate
Coccyzus	145	A	0	5
Coccyzus	145	AM	1	5
Coccyzus	145	I	0	5
Cuculus	96	A	0.72	5
Cuculus	96	AM	0	5
Cuculus	96	I	0.28	5
Eudynamys	139	A	0	5
Eudynamys	139	AM	0	5
Eudynamys	139	I	1	5
Hierococcyx	105	A	0	5
Hierococcyx	105	AM	0	5
Hierococcyx	105	I	1	5
Phaenicophaeus	168	A	0	5
Phaenicophaeus	168	AM	0	5
Phaenicophaeus	168	I	1	5
Piaya	157	A	0	5
Piaya	157	AM	1	5
Piaya	157	I	0	5
Surniculus	113	A	0	5
Surniculus	113	AM	0	5
Surniculus	113	I	1	5
Cacomantis	119	A	0	6
Cacomantis	119	AM	0	6
Cacomantis	119	I	1	6
Cercococcyx	116	A	0.92	6
Cercococcyx	116	AM	0	6
Cercococcyx	116	I	0.08	6
Chalcites	126	A	0	6
Chalcites	126	AM	0	6
Chalcites	126	I	1	6
Chrysococcyx	131	A	0.05	6
Chrysococcyx	131	AM	0	6
Chrysococcyx	131	I	0.95	6
Clamator	161	A	0.19	6
Clamator	161	AM	0	6
Clamator	161	I	0.81	6
Coccycua	158	A	0	6
Coccycua	158	AM	0.95	6
Coccycua	158	I	0.05	6
Coccyzus	145	A	0	6
Coccyzus	145	AM	1	6
Coccyzus	145	I	0	6
Cuculus	96	A	0.74	6
Cuculus	96	AM	0	6
Cuculus	96	I	0.26	6
Eudynamys	139	A	0	6
Eudynamys	139	AM	0	6
Eudynamys	139	I	1	6
Hierococcyx	105	A	0	6
Hierococcyx	105	AM	0	6
Hierococcyx	105	I	1	6
Phaenicophaeus	168	A	0	6
Phaenicophaeus	168	AM	0	6
Phaenicophaeus	168	I	1	6
Piaya	157	A	0	6
Piaya	157	AM	1	6
Piaya	157	I	0	6
Surniculus	113	A	0	6
Surniculus	113	AM	0	6
Surniculus	113	I	1	6
Cacomantis	119	A	0	7
Cacomantis	119	AM	0	7
Cacomantis	119	I	1	7
Cercococcyx	116	A	0.96	7
Cercococcyx	116	AM	0	7
Cercococcyx	116	I	0.04	7
Chalcites	126	A	0	7
Chalcites	126	AM	0	7
Chalcites	126	I	1	7
Chrysococcyx	131	A	0.02	7
Chrysococcyx	131	AM	0	7
Chrysococcyx	131	I	0.98	7
Clamator	161	A	0.2	7
Clamator	161	AM	0	7
Clamator	161	I	0.8	7
Coccycua	158	A	0	7
Coccycua	158	AM	0.98	7
Coccycua	158	I	0.02	7
Coccyzus	145	A	0	7
Coccyzus	145	AM	1	7
Coccyzus	145	I	0	7
Cuculus	96	A	0.76	7
Cuculus	96	AM	0	7
Cuculus	96	I	0.24	7
Eudynamys	139	A	0	7
Eudynamys	139	AM	0	7
Eudynamys	139	I	1	7
Hierococcyx	105	A	0	7
Hierococcyx	105	AM	0	7
Hierococcyx	105	I	1	7
Phaenicophaeus	168	A	0	7
Phaenicophaeus	168	AM	0	7
Phaenicophaeus	168	I	1	7
Piaya	157	A	0	7
Piaya	157	AM	1	7
Piaya	157	I	0	7
Surniculus	113	A	0	7
Surniculus	113	AM	0	7
Surniculus	113	I	1	7
Cacomantis	119	A	0	8
Cacomantis	119	AM	0	8
Cacomantis	119	I	1	8
Cercococcyx	116	A	0.9	8
Cercococcyx	116	AM	0	8
Cercococcyx	116	I	0.1	8
Chalcites	126	A	0	8
Chalcites	126	AM	0	8
Chalcites	126	I	1	8
Chrysococcyx	131	A	0.05	8
Chrysococcyx	131	AM	0	8
Chrysococcyx	131	I	0.95	8
Clamator	161	A	0.13	8
Clamator	161	AM	0	8
Clamator	161	I	0.87	8
Coccycua	158	A	0	8
Coccycua	158	AM	0.97	8
Coccycua	158	I	0.03	8
Coccyzus	145	A	0	8
Coccyzus	145	AM	1	8
Coccyzus	145	I	0	8
Cuculus	96	A	0.83	8
Cuculus	96	AM	0	8
Cuculus	96	I	0.17	8
Eudynamys	139	A	0	8
Eudynamys	139	AM	0	8
Eudynamys	139	I	1	8
Hierococcyx	105	A	0	8
Hierococcyx	105	AM	0	8
Hierococcyx	105	I	1	8
Phaenicophaeus	168	A	0	8
Phaenicophaeus	168	AM	0	8
Phaenicophaeus	168	I	1	8
Piaya	157	A	0	8
Piaya	157	AM	1	8
Piaya	157	I	0	8
Surniculus	113	A	0	8
Surniculus	113	AM	0	8
Surniculus	113	I	1	8
Cacomantis	119	A	0	9
Cacomantis	119	AM	0	9
Cacomantis	119	I	1	9
Cercococcyx	116	A	0.9	9
Cercococcyx	116	AM	0.02	9
Cercococcyx	116	I	0.08	9
Chalcites	126	A	0	9
Chalcites	126	AM	0	9
Chalcites	126	I	1	9
Chrysococcyx	131	A	0.02	9
Chrysococcyx	131	AM	0	9
Chrysococcyx	131	I	0.98	9
Clamator	161	A	0.2	9
Clamator	161	AM	0.01	9
Clamator	161	I	0.79	9
Coccycua	158	A	0	9
Coccycua	158	AM	0.99	9
Coccycua	158	I	0.01	9
Coccyzus	145	A	0	9
Coccyzus	145	AM	1	9
Coccyzus	145	I	0	9
Cuculus	96	A	0.8	9
Cuculus	96	AM	0	9
Cuculus	96	I	0.2	9
Eudynamys	139	A	0	9
Eudynamys	139	AM	0	9
Eudynamys	139	I	1	9
Hierococcyx	105	A	0	9
Hierococcyx	105	AM	0	9
Hierococcyx	105	I	1	9
Phaenicophaeus	168	A	0	9
Phaenicophaeus	168	AM	0	9
Phaenicophaeus	168	I	1	9
Piaya	157	A	0	9
Piaya	157	AM	0.99	9
Piaya	157	I	0.01	9
Surniculus	113	A	0	9
Surniculus	113	AM	0	9
Surniculus	113	I	1	9
Cacomantis	119	A	0	10
Cacomantis	119	AM	0	10
Cacomantis	119	I	1	10
Cercococcyx	116	A	0.94	10
Cercococcyx	116	AM	0.01	10
Cercococcyx	116	I	0.05	10
Chalcites	126	A	0	10
Chalcites	126	AM	0	10
Chalcites	126	I	1	10
Chrysococcyx	131	A	0.03	10
Chrysococcyx	131	AM	0	10
Chrysococcyx	131	I	0.97	10
Clamator	161	A	0.2	10
Clamator	161	AM	0.01	10
Clamator	161	I	0.79	10
Coccycua	158	A	0	10
Coccycua	158	AM	0.99	10
Coccycua	158	I	0.01	10
Coccyzus	145	A	0	10
Coccyzus	145	AM	1	10
Coccyzus	145	I	0	10
Cuculus	96	A	0.78	10
Cuculus	96	AM	0	10
Cuculus	96	I	0.22	10
Eudynamys	139	A	0	10
Eudynamys	139	AM	0	10
Eudynamys	139	I	1	10
Hierococcyx	105	A	0.01	10
Hierococcyx	105	AM	0	10
Hierococcyx	105	I	0.99	10
Phaenicophaeus	168	A	0	10
Phaenicophaeus	168	AM	0	10
Phaenicophaeus	168	I	1	10
Piaya	157	A	0	10
Piaya	157	AM	1	10
Piaya	157	I	0	10
Surniculus	113	A	0	10
Surniculus	113	AM	0	10
Surniculus	113	I	1	10
